,date,symbol,sales
0,1/4/2010,AAPL,6.0
1,1/5/2010,AAPL,6.0
2,1/6/2010,AAPL,6.0
3,1/7/2010,AAPL,6.0
4,1/8/2010,AAPL,6.0
5,1/11/2010,AAPL,6.0
6,1/12/2010,AAPL,5.0
7,1/13/2010,AAPL,6.0
8,1/14/2010,AAPL,5.0
9,1/15/2010,AAPL,5.0
10,1/19/2010,AAPL,6.0
11,1/20/2010,AAPL,6.0
12,1/21/2010,AAPL,5.0
13,1/22/2010,AAPL,5.0
14,1/25/2010,AAPL,5.0
15,1/26/2010,AAPL,5.0
16,1/27/2010,AAPL,5.0
17,1/28/2010,AAPL,5.0
18,1/29/2010,AAPL,5.0
19,2/1/2010,AAPL,5.0
20,2/2/2010,AAPL,5.0
21,2/3/2010,AAPL,5.0
22,2/4/2010,AAPL,5.0
23,2/5/2010,AAPL,5.0
24,2/8/2010,AAPL,5.0
25,2/9/2010,AAPL,5.0
26,2/10/2010,AAPL,5.0
27,2/11/2010,AAPL,5.0
28,2/12/2010,AAPL,5.0
29,2/16/2010,AAPL,5.0
30,2/17/2010,AAPL,5.0
31,2/18/2010,AAPL,5.0
32,2/19/2010,AAPL,5.0
33,2/22/2010,AAPL,5.0
34,2/23/2010,AAPL,5.0
35,2/24/2010,AAPL,5.0
36,2/25/2010,AAPL,5.0
37,2/26/2010,AAPL,5.0
38,3/1/2010,AAPL,5.0
39,3/2/2010,AAPL,5.0
40,3/3/2010,AAPL,5.0
41,3/4/2010,AAPL,6.0
42,3/5/2010,AAPL,6.0
43,3/8/2010,AAPL,6.0
44,3/9/2010,AAPL,6.0
45,3/10/2010,AAPL,6.0
46,3/11/2010,AAPL,6.0
47,3/12/2010,AAPL,6.0
48,3/15/2010,AAPL,6.0
49,3/16/2010,AAPL,6.0
50,3/17/2010,AAPL,6.0
51,3/18/2010,AAPL,6.0
52,3/19/2010,AAPL,6.0
53,3/22/2010,AAPL,6.0
54,3/23/2010,AAPL,6.0
55,3/24/2010,AAPL,6.0
56,3/25/2010,AAPL,6.0
57,3/26/2010,AAPL,6.0
58,3/29/2010,AAPL,6.0
59,3/30/2010,AAPL,6.0
60,3/31/2010,AAPL,6.0
61,4/1/2010,AAPL,6.0
62,4/5/2010,AAPL,6.0
63,4/6/2010,AAPL,6.0
64,4/7/2010,AAPL,6.0
